RestaurantID,Restaurant Name,Address,Time,Price
1,,,,
2,Hủ Tiếu Nam Vang Nhân Quán - Cách Mạng Tháng 8,"122D Cách Mạng Tháng 8, P. 7, Quận 3, TP. HCM",00:00 - 23:59,50.000 - 72.000
3,Cơm Gà Chị Tư - Hoàng Diệu,"L6 Hoàng Diệu, P. 6, Quận 4, TP. HCM",09:00 - 21:15,15.000 - 45.000
4,Mì Quăn - Quăng Tận Nơi,"221 Tôn Thất Hiệp, Quận 11, TP. HCM",08:00 - 13:50 | 15:00 - 21:45,35.000 - 99.000
5,,,,
6,"Bánh Mì Thịt Nướng Dòn Dòn, Bánh Mì Chả Cá & Sữa Bắp - 5 Lưu Đình Lễ","5 Lưu Đình Lễ, P. An Khánh, Thành Phố Thủ Đức, TP. HCM",06:00 - 19:00,30.000 - 40.000
7,,,,
8,Bún Đậu Akiso - Làng Tăng Phú,"72 Làng Tăng Phú, P. Tăng Nhơn Phú A, Thành Phố Thủ Đức, TP. HCM",10:00 - 13:55 | 16:00 - 22:00,22.000 - 32.000
9,Phở Trang - Đường 17,"203 Đường 17, P. Tân Quy, Quận 7, TP. HCM",00:00 - 23:59,39.000 - 55.000
10,Trà Sữa Cueicha - Crescent Mall,"Tầng 5, Tầng 5 Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM",09:30 - 21:30,28.000 - 56.000
11,Cô Loan - Cháo Sườn - Tân Hải,"73/5A Tân Hải, P. 13, Tân Bình, TP. HCM",06:15 - 23:00,5.000 - 30.000
12,Rau Má Mix - Nước Ép & Trà Trái Cây - 298 Tô Ngọc Vân,"298 Tô Ngọc Vân, P. Tam Phú, Thành Phố Thủ Đức, TP. HCM",08:00 - 22:15,0 - 0
13,"Bento Delichi - Cơm Gà Xối Mỡ, Cơm Gà Mắm Tỏi - Nguyễn Văn Hưởng","33 Nguyễn Văn Hưởng, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",10:00 - 20:00,0 - 0
14,,,,
15,Bếp Chay Đăng - Đường 49,"Số 6 Đường 49, Bình Tân, TP. HCM",07:00 - 19:30,0 - 0
16,Trà Bí Đao & Trà Sữa Taiwan - Ms.Bí - Phan Đình Phùng,"241C Phan Đình Phùng, P. 15, Phú Nhuận, TP. HCM",08:05 - 23:50,0 - 0
17,,,,
18,Đậu Má Mix - Đậu Nành & Rau Má - Đinh Đức Thiện,"152 Đinh Đức Thiện, X. Bình Chánh, Bình Chánh, TP. HCM",07:30 - 22:00,12.000 - 28.000
