brand,price,number_of_seat,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Phuong Thu,345.000 VND /khách,Limo - Limousine 34 Phòng Đơn,17:00,09-12-2025,05:30,09-12-2025,05:30,Bến Xe Miền Đông - Quầy vé 13,Bến xe Kon Tum
Nhat Tan,402.500 VND /khách,Limo32 - Limousine 32 Phòng Đơn,17:00,09-12-2025,06:30,09-12-2025,06:30,Bến xe Miền Đông - Quầy 28,VP Kon Tum
Nhat Tan,402.500 VND /khách,Limo32 - Limousine 32 Phòng Đơn,17:00,09-12-2025,07:55,09-12-2025,07:55,Bến xe Miền Đông - Quầy 28,Bến xe Ngọc Hồi
Tay Nguyen,402.500 VND /khách,Ghế thường - Limousine 34 Giường,17:15,09-12-2025,05:35,09-12-2025,05:35,Bến Xe Miền Đông - Quầy vé 22,Bến xe Kon Tum
Minh Quoc,460.000 VND /khách,Giường nằm - Limousine 34 Phòng Đơn,17:30,09-12-2025,05:00,09-12-2025,05:00,Bến xe An Sương,Văn Phòng Kon Tum
Minh Quoc,460.000 VND /khách,Giường nằm - Limousine 34 Phòng Đơn,17:30,09-12-2025,06:00,09-12-2025,06:00,Bến xe An Sương,Bến xe Đắk Hà
Minh Quoc,460.000 VND /khách,Giường nằm - Limousine 34 Phòng Đơn,17:30,09-12-2025,07:00,09-12-2025,07:00,Bến xe An Sương,Bến xe Ngọc Hồi
Minh Quoc,460.000 VND /khách,Giường nằm - Limousine 34 Phòng Đơn,18:00,09-12-2025,05:30,09-12-2025,05:30,Bến xe Miền Đông - Quầy vé số 79,Văn Phòng Kon Tum
Minh Quoc,460.000 VND /khách,Giường nằm - Limousine 34 Phòng Đơn,18:00,09-12-2025,06:30,09-12-2025,06:30,Bến xe Miền Đông - Quầy vé số 79,Bến xe Đắk Hà
Minh Quoc,460.000 VND /khách,Giường nằm - Limousine 34 Phòng Đơn,18:00,09-12-2025,07:30,09-12-2025,07:30,Bến xe Miền Đông - Quầy vé số 79,Bến xe Ngọc Hồi
