brand,price,number_of_seat,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Minh Duc - Hue,632.500 VND /khách,Ghế thường - Limousine 32 phòng (WC),05:30,08-12-2025,01:30,08-12-2025,01:30,Bến Xe An Sương,Bến xe phía Nam Huế
Minh Duc - Hue,632.500 VND /khách,Ghế thường - Limousine 32 phòng (WC),06:30,08-12-2025,01:30,08-12-2025,01:30,Bến xe Miền Đông Mới,Bến xe phía Nam Huế
Phi Long - Mau Huong,632.500 VND /khách,Ghế thường - Giường nằm 40 chỗ,07:00,08-12-2025,03:35,08-12-2025,03:35,Bến xe Ngã Tư Ga,Bến xe phía Nam Huế
Phi Long - Mau Huong,632.500 VND /khách,Ghế thường - Giường nằm 40 chỗ,07:30,08-12-2025,03:35,08-12-2025,03:35,Bến xe Miền Đông Mới,Bến xe phía Nam Huế
Hanh Cafe,736.000 VND /khách,THƯỜNG - Giường nằm 41 chỗ,07:45,08-12-2025,11:00,08-12-2025,11:00,Văn phòng Quận 1,Thành phố Huế
HTX Sai Gon,747.500 VND /khách,Ghế thường - Giường nằm 40 chỗ,07:00,08-12-2025,07:32,08-12-2025,07:32,Bến xe Miền Đông,Đường tránh Huế
Hoang Long - Do,920.000 VND /khách,Ghế thường - Giường nằm 42 chỗ,08:30,08-12-2025,07:30,08-12-2025,07:30,Bến Xe Miền Đông (Cổng số 4),Huế (Dọc Quốc Lộ 1A)
Hoang Long - Do,920.000 VND /khách,Ghế thường - Giường nằm 42 chỗ,09:00,08-12-2025,08:00,08-12-2025,08:00,Bến Xe Miền Đông (Cổng số 4),Huế (Dọc Quốc Lộ 1A)
Hoang Long - Do,920.000 VND /khách,Ghế thường - Giường nằm 42 chỗ,11:30,08-12-2025,10:30,08-12-2025,10:30,Bến Xe Miền Đông (Cổng số 4),Huế (Dọc Quốc Lộ 1A)
Hoang Long - Do,920.000 VND /khách,Ghế thường - Giường nằm 42 chỗ,13:00,08-12-2025,12:00,08-12-2025,12:00,Bến Xe Miền Đông (Cổng số 4),Huế (Dọc Quốc Lộ 1A)
