brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
"Vietravel Airlines, VietJet Air",1.556.380 VND/khách,18:55,08-12-2025,11:20,08-12-2025,16h 25m,DAD,HUI
"Bamboo Airways, VietJet Air",1.585.128 VND/khách,18:20,08-12-2025,11:20,08-12-2025,17h 0m,DAD,HUI
"Vietnam Airlines, VietJet Air",1.642.355 VND/khách,22:55,08-12-2025,11:20,08-12-2025,12h 25m,DAD,HUI
"Vietnam Airlines, VietJet Air",1.642.355 VND/khách,22:55,08-12-2025,20:30,08-12-2025,21h 35m,DAD,HUI
VietJet Air,1.819.987 VND/khách,22:40,08-12-2025,11:20,08-12-2025,12h 40m,DAD,HUI
"Vietnam Airlines, VietJet Air",1.895.085 VND/khách,18:05,08-12-2025,11:20,08-12-2025,17h 15m,DAD,HUI
"Vietnam Airlines, VietJet Air",1.895.085 VND/khách,17:30,08-12-2025,11:20,08-12-2025,17h 50m,DAD,HUI
VietJet Air,2.038.777 VND/khách,05:45,08-12-2025,11:20,08-12-2025,5h 35m,DAD,HUI
"Vietnam Airlines, VietJet Air",2.173.981 VND/khách,06:05,08-12-2025,11:20,08-12-2025,5h 15m,DAD,HUI
"Vietravel Airlines, Vietnam Airlines",2.249.320 VND/khách,08:30,08-12-2025,21:15,08-12-2025,12h 45m,DAD,HUI
