brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
VietJet Air,2.045.443 VND/khách,05:25,09-12-2025,18:45,09-12-2025,13h 20m,DAD,VCL
VietJet Air,2.159.959 VND/khách,07:50,09-12-2025,18:45,09-12-2025,10h 55m,DAD,VCL
"Vietravel Airlines, Vietnam Airlines",2.193.575 VND/khách,21:15,09-12-2025,17:10,09-12-2025,19h 55m,DAD,VCL
"VietJet Air, Vietnam Airlines",2.222.285 VND/khách,23:15,09-12-2025,17:10,09-12-2025,17h 55m,DAD,VCL
"Vietravel Airlines, VietJet Air",2.227.439 VND/khách,21:15,09-12-2025,08:25,09-12-2025,11h 10m,DAD,VCL
"Vietravel Airlines, VietJet Air",2.227.439 VND/khách,21:15,09-12-2025,15:25,09-12-2025,18h 10m,DAD,VCL
"VietJet Air, Vietnam Airlines",2.251.262 VND/khách,22:30,09-12-2025,17:10,09-12-2025,18h 40m,DAD,VCL
VietJet Air,2.256.149 VND/khách,23:15,09-12-2025,15:25,09-12-2025,16h 10m,DAD,VCL
VietJet Air,2.302.970 VND/khách,12:05,09-12-2025,18:45,09-12-2025,6h 40m,DAD,VCL
"Vietravel Airlines, Vietnam Airlines",2.340.835 VND/khách,21:15,09-12-2025,13:10,09-12-2025,15h 55m,DAD,VCL
