brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Vietravel Airlines,708.840 VND/khách,06:25,09-12-2025,07:45,09-12-2025,1h 20m,HAN,DAD
Vietravel Airlines,868.230 VND/khách,16:50,09-12-2025,18:10,09-12-2025,1h 20m,HAN,DAD
VietJet Air,874.170 VND/khách,05:55,09-12-2025,07:10,09-12-2025,1h 15m,HAN,DAD
VietJet Air,874.170 VND/khách,09:55,09-12-2025,11:15,09-12-2025,1h 20m,HAN,DAD
VietJet Air,874.170 VND/khách,10:30,09-12-2025,11:50,09-12-2025,1h 20m,HAN,DAD
VietJet Air,874.170 VND/khách,19:05,09-12-2025,20:25,09-12-2025,1h 20m,HAN,DAD
VietJet Air,874.170 VND/khách,19:45,09-12-2025,21:05,09-12-2025,1h 20m,HAN,DAD
VietJet Air,874.170 VND/khách,20:15,09-12-2025,21:35,09-12-2025,1h 20m,HAN,DAD
Bamboo Airways,896.978 VND/khách,16:15,09-12-2025,17:40,09-12-2025,1h 25m,HAN,DAD
VietJet Air,912.733 VND/khách,20:50,09-12-2025,22:10,09-12-2025,1h 20m,HAN,DAD
