brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
VietJet Air,2.474.016 VND/khách,22:10,08-12-2025,14:05,08-12-2025,15h 55m,HAN,HUI
VietJet Air,2.474.016 VND/khách,22:10,08-12-2025,18:00,08-12-2025,19h 50m,HAN,HUI
VietJet Air,2.474.016 VND/khách,18:00,08-12-2025,14:05,08-12-2025,20h 5m,HAN,HUI
VietJet Air,2.474.016 VND/khách,17:45,08-12-2025,14:05,08-12-2025,20h 20m,HAN,HUI
VietJet Air,2.474.016 VND/khách,16:00,08-12-2025,14:05,08-12-2025,22h 5m,HAN,HUI
VietJet Air,2.474.016 VND/khách,22:10,08-12-2025,21:50,08-12-2025,23h 40m,HAN,HUI
VietJet Air,2.474.016 VND/khách,17:45,08-12-2025,18:00,08-12-2025,24h 15m,HAN,HUI
VietJet Air,2.546.951 VND/khách,05:10,08-12-2025,14:15,08-12-2025,9h 5m,HAN,HUI
VietJet Air,2.588.531 VND/khách,15:20,08-12-2025,18:00,08-12-2025,26h 40m,HAN,HUI
VietJet Air,2.593.577 VND/khách,11:40,08-12-2025,18:00,08-12-2025,6h 20m,HAN,HUI
