brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
SUN PhuQuoc AIRWAYS,1.722.221 VND/khách,09:25,10-12-2025,11:30,10-12-2025,2h 5m,HAN,PQC
VietJet Air,1.339.296 VND/khách,06:00,10-12-2025,08:05,10-12-2025,2h 5m,HAN,PQC
Vietnam Airlines,1.466.630 VND/khách,07:00,10-12-2025,09:15,10-12-2025,2h 15m,HAN,PQC
Vietnam Airlines,1.501.455 VND/khách,12:30,10-12-2025,14:40,10-12-2025,2h 10m,HAN,PQC
VietJet Air,1.576.905 VND/khách,15:30,10-12-2025,17:35,10-12-2025,2h 5m,HAN,PQC
SUN PhuQuoc AIRWAYS,1.722.221 VND/khách,07:45,10-12-2025,09:50,10-12-2025,2h 5m,HAN,PQC
VietJet Air,1.837.032 VND/khách,17:40,10-12-2025,19:45,10-12-2025,2h 5m,HAN,PQC
SUN PhuQuoc AIRWAYS,1.925.700 VND/khách,13:20,10-12-2025,15:25,10-12-2025,2h 5m,HAN,PQC
VietJet Air,2.133.446 VND/khách,12:25,10-12-2025,14:30,10-12-2025,2h 5m,HAN,PQC
Vietnam Airlines,4.549.224 VND/khách,07:00,10-12-2025,09:15,10-12-2025,2h 15m,HAN,PQC
