brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Bamboo Airways,1.447.964 VND/khách,16:30,10-12-2025,18:45,10-12-2025,2h 15m,HAN,SGN
Bamboo Airways,1.576.961 VND/khách,07:05,10-12-2025,09:20,10-12-2025,2h 15m,HAN,SGN
Bamboo Airways,1.576.961 VND/khách,18:20,10-12-2025,20:35,10-12-2025,2h 15m,HAN,SGN
Bamboo Airways,1.576.961 VND/khách,22:35,10-12-2025,00:50,10-12-2025,2h 15m,HAN,SGN
Vietnam Airlines,1.605.930 VND/khách,05:00,10-12-2025,07:10,10-12-2025,2h 10m,HAN,SGN
Vietnam Airlines,1.605.930 VND/khách,06:00,10-12-2025,08:10,10-12-2025,2h 10m,HAN,SGN
Vietnam Airlines,1.605.930 VND/khách,18:30,10-12-2025,20:40,10-12-2025,2h 10m,HAN,SGN
Vietnam Airlines,1.605.930 VND/khách,19:00,10-12-2025,21:10,10-12-2025,2h 10m,HAN,SGN
Vietnam Airlines,1.605.930 VND/khách,20:00,10-12-2025,22:10,10-12-2025,2h 10m,HAN,SGN
Vietnam Airlines,1.605.930 VND/khách,20:30,10-12-2025,22:40,10-12-2025,2h 10m,HAN,SGN
