brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Bamboo Airways,2.230.836 VND/khách,07:05,09-12-2025,17:45,09-12-2025,10h 40m,HAN,UIH
VietJet Air,1.352.824 VND/khách,15:25,09-12-2025,17:00,09-12-2025,1h 35m,HAN,UIH
Vietnam Airlines,2.540.279 VND/khách,11:20,09-12-2025,12:55,09-12-2025,1h 35m,HAN,UIH
Vietnam Airlines,3.327.007 VND/khách,11:20,09-12-2025,12:55,09-12-2025,1h 35m,HAN,UIH
VietJet Air,2.022.840 VND/khách,22:50,09-12-2025,07:00,09-12-2025,8h 10m,HAN,UIH
"Vietravel Airlines, VietJet Air",2.075.140 VND/khách,21:00,09-12-2025,07:00,09-12-2025,10h 0m,HAN,UIH
"Vietravel Airlines, VietJet Air",2.194.930 VND/khách,20:30,09-12-2025,07:00,09-12-2025,10h 30m,HAN,UIH
"Vietravel Airlines, VietJet Air",2.194.930 VND/khách,16:10,09-12-2025,07:00,09-12-2025,14h 50m,HAN,UIH
"Vietravel Airlines, VietJet Air",2.194.930 VND/khách,10:50,09-12-2025,07:00,09-12-2025,20h 10m,HAN,UIH
"Vietravel Airlines, VietJet Air",2.194.930 VND/khách,10:05,09-12-2025,07:00,09-12-2025,20h 55m,HAN,UIH
