brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Vietnam Airlines,1.028.830 VND/khách,08:45,10-12-2025,09:50,10-12-2025,1h 5m,HAN,VDH
VietJet Air,3.868.204 VND/khách,06:40,10-12-2025,07:05,10-12-2025,24h 25m,HAN,VDH
VietJet Air,3.981.537 VND/khách,23:40,10-12-2025,07:05,10-12-2025,7h 25m,HAN,VDH
VietJet Air,3.981.537 VND/khách,23:25,10-12-2025,07:05,10-12-2025,7h 40m,HAN,VDH
VietJet Air,3.981.537 VND/khách,19:05,10-12-2025,07:05,10-12-2025,12h 0m,HAN,VDH
VietJet Air,3.981.537 VND/khách,18:30,10-12-2025,07:05,10-12-2025,12h 35m,HAN,VDH
VietJet Air,3.981.537 VND/khách,18:10,10-12-2025,07:05,10-12-2025,12h 55m,HAN,VDH
VietJet Air,3.981.537 VND/khách,18:00,10-12-2025,07:05,10-12-2025,13h 5m,HAN,VDH
VietJet Air,3.981.537 VND/khách,16:00,10-12-2025,07:05,10-12-2025,15h 5m,HAN,VDH
VietJet Air,3.981.537 VND/khách,16:00,10-12-2025,07:05,10-12-2025,15h 5m,HAN,VDH
