brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
VietJet Air,3.167.958 VND/khách,23:20,10-12-2025,14:50,10-12-2025,15h 30m,SGN,CXR
VietJet Air,3.389.798 VND/khách,06:15,10-12-2025,14:50,10-12-2025,32h 35m,SGN,CXR
VietJet Air,3.389.798 VND/khách,05:30,10-12-2025,14:50,10-12-2025,33h 20m,SGN,CXR
VietJet Air,3.389.798 VND/khách,05:20,10-12-2025,14:50,10-12-2025,33h 30m,SGN,CXR
VietJet Air,3.819.097 VND/khách,13:20,10-12-2025,14:50,10-12-2025,25h 30m,SGN,CXR
Vietnam Airlines,4.144.735 VND/khách,06:00,10-12-2025,18:40,10-12-2025,12h 40m,SGN,CXR
VietJet Air,4.162.376 VND/khách,09:00,10-12-2025,14:50,10-12-2025,29h 50m,SGN,CXR
Vietnam Airlines,4.189.000 VND/khách,07:00,10-12-2025,18:40,10-12-2025,11h 40m,SGN,CXR
Vietnam Airlines,4.430.240 VND/khách,12:00,10-12-2025,18:40,10-12-2025,6h 40m,SGN,CXR
Vietnam Airlines,4.586.806 VND/khách,06:00,10-12-2025,15:40,10-12-2025,9h 40m,SGN,CXR
