brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Vietravel Airlines,868.230 VND/khách,19:10,08-12-2025,20:30,08-12-2025,1h 20m,SGN,DAD
Vietravel Airlines,969.210 VND/khách,09:00,08-12-2025,10:20,08-12-2025,1h 20m,SGN,DAD
Bamboo Airways,993.975 VND/khách,06:15,08-12-2025,07:40,08-12-2025,1h 25m,SGN,DAD
Vietnam Airlines,1.125.345 VND/khách,06:05,08-12-2025,07:25,08-12-2025,1h 20m,SGN,DAD
Vietnam Airlines,1.125.345 VND/khách,22:15,08-12-2025,23:35,08-12-2025,1h 20m,SGN,DAD
Vietnam Airlines,1.253.700 VND/khách,07:00,08-12-2025,08:20,08-12-2025,1h 20m,SGN,DAD
Bamboo Airways,1.285.968 VND/khách,13:10,08-12-2025,14:35,08-12-2025,1h 25m,SGN,DAD
Vietnam Airlines,1.375.090 VND/khách,08:05,08-12-2025,09:20,08-12-2025,1h 15m,SGN,DAD
Vietnam Airlines,1.375.090 VND/khách,17:15,08-12-2025,18:30,08-12-2025,1h 15m,SGN,DAD
Vietnam Airlines,1.375.090 VND/khách,15:15,08-12-2025,16:35,08-12-2025,1h 20m,SGN,DAD
