brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Bamboo Airways,815.432 VND/khách,12:05,08-12-2025,13:00,08-12-2025,55m,SGN,DLI
VietJet Air,678.302 VND/khách,18:35,08-12-2025,19:30,08-12-2025,55m,SGN,DLI
Vietnam Airlines,908.435 VND/khách,07:00,08-12-2025,07:50,08-12-2025,50m,SGN,DLI
Vietnam Airlines,1.020.870 VND/khách,18:20,08-12-2025,19:20,08-12-2025,1h 0m,SGN,DLI
Vietnam Airlines,1.035.811 VND/khách,06:15,08-12-2025,07:05,08-12-2025,50m,SGN,DLI
Vietnam Airlines,1.035.811 VND/khách,17:25,08-12-2025,18:15,08-12-2025,50m,SGN,DLI
Vietnam Airlines,1.486.342 VND/khách,10:25,08-12-2025,11:10,08-12-2025,45m,SGN,DLI
VietJet Air,2.917.091 VND/khách,23:20,08-12-2025,07:40,08-12-2025,8h 20m,SGN,DLI
VietJet Air,3.086.828 VND/khách,23:00,08-12-2025,18:05,08-12-2025,19h 5m,SGN,DLI
VietJet Air,3.086.828 VND/khách,22:40,08-12-2025,18:05,08-12-2025,19h 25m,SGN,DLI
