brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Vietravel Airlines,767.250 VND/khách,17:20,08-12-2025,18:25,08-12-2025,1h 5m,SGN,PQC
Vietravel Airlines,835.560 VND/khách,13:25,08-12-2025,14:30,08-12-2025,1h 5m,SGN,PQC
VietJet Air,892.980 VND/khách,15:15,08-12-2025,16:15,08-12-2025,1h 0m,SGN,PQC
SUN PhuQuoc AIRWAYS,959.442 VND/khách,15:25,08-12-2025,16:25,08-12-2025,1h 0m,SGN,PQC
Vietnam Airlines,1.059.675 VND/khách,05:40,08-12-2025,06:40,08-12-2025,1h 0m,SGN,PQC
VietJet Air,1.122.515 VND/khách,07:30,08-12-2025,08:30,08-12-2025,1h 0m,SGN,PQC
VietJet Air,1.133.854 VND/khách,05:50,08-12-2025,06:50,08-12-2025,1h 0m,SGN,PQC
SUN PhuQuoc AIRWAYS,1.135.820 VND/khách,10:35,08-12-2025,11:35,08-12-2025,1h 0m,SGN,PQC
Vietnam Airlines,1.213.900 VND/khách,08:10,08-12-2025,09:10,08-12-2025,1h 0m,SGN,PQC
Vietnam Airlines,1.217.880 VND/khách,15:20,08-12-2025,16:20,08-12-2025,1h 0m,SGN,PQC
