brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Vietnam Airlines,1.319.370 VND/khách,07:35,08-12-2025,08:40,08-12-2025,1h 5m,SGN,TBB
Vietnam Airlines,2.020.277 VND/khách,07:35,08-12-2025,08:40,08-12-2025,1h 5m,SGN,TBB
Vietnam Airlines,3.999.900 VND/khách,06:40,08-12-2025,13:45,08-12-2025,7h 5m,SGN,TBB
Vietnam Airlines,4.051.640 VND/khách,07:05,08-12-2025,13:45,08-12-2025,6h 40m,SGN,TBB
Vietnam Airlines,4.210.840 VND/khách,07:00,08-12-2025,13:45,08-12-2025,6h 45m,SGN,TBB
Vietnam Airlines,4.264.620 VND/khách,11:00,08-12-2025,13:45,08-12-2025,26h 45m,SGN,TBB
Vietnam Airlines,4.264.620 VND/khách,10:45,08-12-2025,13:45,08-12-2025,27h 0m,SGN,TBB
Vietnam Airlines,4.338.200 VND/khách,07:25,08-12-2025,13:45,08-12-2025,6h 20m,SGN,TBB
Vietnam Airlines,4.638.690 VND/khách,08:00,08-12-2025,13:45,08-12-2025,5h 45m,SGN,TBB
Vietnam Airlines,4.823.642 VND/khách,06:00,08-12-2025,13:45,08-12-2025,7h 45m,SGN,TBB
