brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
VietJet Air,1.791.855 VND/khách,23:00,08-12-2025,14:30,08-12-2025,15h 30m,SGN,VCA
VietJet Air,1.791.855 VND/khách,22:40,08-12-2025,14:30,08-12-2025,15h 50m,SGN,VCA
VietJet Air,1.817.551 VND/khách,07:20,08-12-2025,14:30,08-12-2025,7h 10m,SGN,VCA
"Vietravel Airlines, VietJet Air",1.883.881 VND/khách,09:00,08-12-2025,14:30,08-12-2025,5h 30m,SGN,VCA
"Bamboo Airways, VietJet Air",1.908.646 VND/khách,06:15,08-12-2025,14:30,08-12-2025,8h 15m,SGN,VCA
"Vietravel Airlines, VietJet Air",2.000.745 VND/khách,19:10,08-12-2025,14:30,08-12-2025,19h 20m,SGN,VCA
VietJet Air,2.035.395 VND/khách,21:25,08-12-2025,14:30,08-12-2025,17h 5m,SGN,VCA
VietJet Air,2.035.395 VND/khách,20:40,08-12-2025,14:30,08-12-2025,17h 50m,SGN,VCA
"Vietnam Airlines, VietJet Air",2.040.016 VND/khách,06:05,08-12-2025,14:30,08-12-2025,8h 25m,SGN,VCA
VietJet Air,2.046.508 VND/khách,09:25,08-12-2025,14:30,08-12-2025,5h 5m,SGN,VCA
