brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination,trip_to,id
"Vietravel Airlines, VietJet Air",1556380,18:55,,,11:20,16h 25m,DAD,HUI,Đà Nẵng,1
"Bamboo Airways, VietJet Air",1585128,18:20,,,11:20,17h 0m,DAD,HUI,Đà Nẵng,2
"Vietnam Airlines, VietJet Air",1642355,22:55,,,11:20,12h 25m,DAD,HUI,Đà Nẵng,3
"Vietnam Airlines, VietJet Air",1642355,22:55,,,20:30,21h 35m,DAD,HUI,Đà Nẵng,4
VietJet Air,1819987,22:40,,,11:20,12h 40m,DAD,HUI,Đà Nẵng,5
"Vietnam Airlines, VietJet Air",1895085,18:05,,,11:20,17h 15m,DAD,HUI,Đà Nẵng,6
"Vietnam Airlines, VietJet Air",1895085,17:30,,,11:20,17h 50m,DAD,HUI,Đà Nẵng,7
VietJet Air,2038777,05:45,,,11:20,5h 35m,DAD,HUI,Đà Nẵng,8
"Vietnam Airlines, VietJet Air",2173981,06:05,,,11:20,5h 15m,DAD,HUI,Đà Nẵng,9
"Vietravel Airlines, Vietnam Airlines",2249320,08:30,,,21:15,12h 45m,DAD,HUI,Đà Nẵng,10
"Vietravel Airlines, VietJet Air",1390060,08:30,,,20:30,12h 0m,DAD,HUI,Đà Nẵng,11
"Vietravel Airlines, VietJet Air",1443520,18:55,,,11:20,16h 25m,DAD,HUI,Đà Nẵng,12
"Bamboo Airways, VietJet Air",1498130,18:20,,,11:20,17h 0m,DAD,HUI,Đà Nẵng,13
VietJet Air,1580140,05:45,,,11:20,5h 35m,DAD,HUI,Đà Nẵng,14
VietJet Air,1580140,05:45,,,20:30,14h 45m,DAD,HUI,Đà Nẵng,15
"Vietnam Airlines, VietJet Air",1632405,22:55,,,11:20,12h 25m,DAD,HUI,Đà Nẵng,16
"Vietnam Airlines, VietJet Air",1758770,06:35,,,11:20,4h 45m,DAD,HUI,Đà Nẵng,17
"Vietnam Airlines, VietJet Air",1758770,17:30,,,11:20,17h 50m,DAD,HUI,Đà Nẵng,18
"Vietnam Airlines, VietJet Air",1758770,17:00,,,11:20,18h 20m,DAD,HUI,Đà Nẵng,19
"Vietravel Airlines, Vietnam Airlines",1785515,08:30,,,07:15,22h 45m,DAD,HUI,Đà Nẵng,20
VietJet Air,1549602,22:40,,,11:20,12h 40m,DAD,HUI,Đà Nẵng,21
VietJet Air,1549602,22:40,,,20:30,21h 50m,DAD,HUI,Đà Nẵng,22
VietJet Air,1584100,05:45,,,11:20,5h 35m,DAD,HUI,Đà Nẵng,23
"Bamboo Airways, VietJet Air",1585302,18:20,,,11:20,17h 0m,DAD,HUI,Đà Nẵng,24
"Vietnam Airlines, VietJet Air",1651462,22:55,,,11:20,12h 25m,DAD,HUI,Đà Nẵng,25
"Vietnam Airlines, VietJet Air",1651462,22:55,,,20:30,21h 35m,DAD,HUI,Đà Nẵng,26
"Vietnam Airlines, VietJet Air",1731759,06:35,,,11:20,4h 45m,DAD,HUI,Đà Nẵng,27
"Vietravel Airlines, Vietnam Airlines",1787495,08:30,,,21:25,12h 55m,DAD,HUI,Đà Nẵng,28
"Vietnam Airlines, VietJet Air",1793747,20:20,,,11:20,15h 0m,DAD,HUI,Đà Nẵng,29
"Vietnam Airlines, VietJet Air",1793747,20:20,,,20:30,24h 10m,DAD,HUI,Đà Nẵng,30
"Vietravel Airlines, Vietnam Airlines",2034420,18:55,,,08:40,13h 45m,DAD,VCL,Đà Nẵng,31
"Bamboo Airways, Vietnam Airlines",2063168,18:20,,,08:40,14h 20m,DAD,VCL,Đà Nẵng,32
Vietnam Airlines,2120395,22:55,,,08:40,9h 45m,DAD,VCL,Đà Nẵng,33
"Vietravel Airlines, Vietnam Airlines",2235390,08:30,,,08:40,24h 10m,DAD,VCL,Đà Nẵng,34
"VietJet Air, Vietnam Airlines",2298027,22:40,,,08:40,10h 0m,DAD,VCL,Đà Nẵng,35
Vietnam Airlines,2373125,18:05,,,08:40,14h 35m,DAD,VCL,Đà Nẵng,36
Vietnam Airlines,2373125,17:30,,,08:40,15h 10m,DAD,VCL,Đà Nẵng,37
VietJet Air,2045443,05:25,,,18:45,13h 20m,DAD,VCL,Đà Nẵng,38
VietJet Air,2159959,07:50,,,18:45,10h 55m,DAD,VCL,Đà Nẵng,39
"Vietravel Airlines, Vietnam Airlines",2193575,21:15,,,17:10,19h 55m,DAD,VCL,Đà Nẵng,40
"VietJet Air, Vietnam Airlines",2222285,23:15,,,17:10,17h 55m,DAD,VCL,Đà Nẵng,41
"Vietravel Airlines, VietJet Air",2227439,21:15,,,08:25,11h 10m,DAD,VCL,Đà Nẵng,42
"Vietravel Airlines, VietJet Air",2227439,21:15,,,15:25,18h 10m,DAD,VCL,Đà Nẵng,43
"VietJet Air, Vietnam Airlines",2251262,22:30,,,17:10,18h 40m,DAD,VCL,Đà Nẵng,44
VietJet Air,2256149,23:15,,,15:25,16h 10m,DAD,VCL,Đà Nẵng,45
VietJet Air,2302970,12:05,,,18:45,6h 40m,DAD,VCL,Đà Nẵng,46
"Vietravel Airlines, Vietnam Airlines",2340835,21:15,,,13:10,15h 55m,DAD,VCL,Đà Nẵng,47
"Vietravel Airlines, Vietnam Airlines",2011370,08:30,,,08:40,24h 10m,DAD,VCL,Đà Nẵng,48
"VietJet Air, Vietnam Airlines",2168780,22:40,,,08:40,10h 0m,DAD,VCL,Đà Nẵng,49
"Bamboo Airways, Vietnam Airlines",2204480,18:20,,,08:40,14h 20m,DAD,VCL,Đà Nẵng,50
Vietnam Airlines,2270640,22:55,,,08:40,9h 45m,DAD,VCL,Đà Nẵng,51
Vietnam Airlines,2398000,19:00,,,08:40,13h 40m,DAD,VCL,Đà Nẵng,52
Vietnam Airlines,2398000,18:05,,,08:40,14h 35m,DAD,VCL,Đà Nẵng,53
Vietnam Airlines,2412925,20:20,,,08:40,12h 20m,DAD,VCL,Đà Nẵng,54
"Vietravel Airlines, Vietnam Airlines",4189481,08:30,,,17:10,8h 40m,DAD,VCL,Đà Nẵng,55
"VietJet Air, Vietnam Airlines",4381541,05:45,,,17:10,11h 25m,DAD,VCL,Đà Nẵng,56
Vietravel Airlines,754380,06:25,,,07:45,1h 20m,HAN,DAD,Đà Nẵng,57
VietJet Air,671220,20:15,,,21:35,1h 20m,HAN,DAD,Đà Nẵng,58
VietJet Air,671220,20:50,,,22:10,1h 20m,HAN,DAD,Đà Nẵng,59
Bamboo Airways,809980,16:15,,,17:40,1h 25m,HAN,DAD,Đà Nẵng,60
Vietravel Airlines,859320,16:50,,,18:10,1h 20m,HAN,DAD,Đà Nẵng,61
VietJet Air,891990,05:55,,,07:10,1h 15m,HAN,DAD,Đà Nẵng,62
VietJet Air,891990,09:30,,,10:50,1h 20m,HAN,DAD,Đà Nẵng,63
VietJet Air,912733,19:45,,,21:05,1h 20m,HAN,DAD,Đà Nẵng,64
