brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
Vietravel Airlines,708840,06:25,,,07:45,1h 20m,HAN,DAD
Vietravel Airlines,868230,16:50,,,18:10,1h 20m,HAN,DAD
VietJet Air,874170,05:55,,,07:10,1h 15m,HAN,DAD
VietJet Air,874170,09:55,,,11:15,1h 20m,HAN,DAD
VietJet Air,874170,10:30,,,11:50,1h 20m,HAN,DAD
VietJet Air,874170,19:05,,,20:25,1h 20m,HAN,DAD
VietJet Air,874170,19:45,,,21:05,1h 20m,HAN,DAD
VietJet Air,874170,20:15,,,21:35,1h 20m,HAN,DAD
Bamboo Airways,896978,16:15,,,17:40,1h 25m,HAN,DAD
VietJet Air,912733,20:50,,,22:10,1h 20m,HAN,DAD
