brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
SUN PhuQuoc AIRWAYS,1722221,09:25,,,11:30,2h 5m,HAN,PQC
VietJet Air,1339296,06:00,,,08:05,2h 5m,HAN,PQC
Vietnam Airlines,1466630,07:00,,,09:15,2h 15m,HAN,PQC
Vietnam Airlines,1501455,12:30,,,14:40,2h 10m,HAN,PQC
VietJet Air,1576905,15:30,,,17:35,2h 5m,HAN,PQC
SUN PhuQuoc AIRWAYS,1722221,07:45,,,09:50,2h 5m,HAN,PQC
VietJet Air,1837032,17:40,,,19:45,2h 5m,HAN,PQC
SUN PhuQuoc AIRWAYS,1925700,13:20,,,15:25,2h 5m,HAN,PQC
VietJet Air,2133446,12:25,,,14:30,2h 5m,HAN,PQC
Vietnam Airlines,4549224,07:00,,,09:15,2h 15m,HAN,PQC
