brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
Vietnam Airlines,1028830,08:45,,,09:50,1h 5m,HAN,VDH
VietJet Air,3868204,06:40,,,07:05,24h 25m,HAN,VDH
VietJet Air,3981537,23:40,,,07:05,7h 25m,HAN,VDH
VietJet Air,3981537,23:25,,,07:05,7h 40m,HAN,VDH
VietJet Air,3981537,19:05,,,07:05,12h 0m,HAN,VDH
VietJet Air,3981537,18:30,,,07:05,12h 35m,HAN,VDH
VietJet Air,3981537,18:10,,,07:05,12h 55m,HAN,VDH
VietJet Air,3981537,18:00,,,07:05,13h 5m,HAN,VDH
VietJet Air,3981537,16:00,,,07:05,15h 5m,HAN,VDH
VietJet Air,3981537,16:00,,,07:05,15h 5m,HAN,VDH
