brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
Vietravel Airlines,868230,19:10,,,20:30,1h 20m,SGN,DAD
Vietravel Airlines,969210,09:00,,,10:20,1h 20m,SGN,DAD
Bamboo Airways,993975,06:15,,,07:40,1h 25m,SGN,DAD
Vietnam Airlines,1125345,06:05,,,07:25,1h 20m,SGN,DAD
Vietnam Airlines,1125345,22:15,,,23:35,1h 20m,SGN,DAD
Vietnam Airlines,1253700,07:00,,,08:20,1h 20m,SGN,DAD
Bamboo Airways,1285968,13:10,,,14:35,1h 25m,SGN,DAD
Vietnam Airlines,1375090,08:05,,,09:20,1h 15m,SGN,DAD
Vietnam Airlines,1375090,17:15,,,18:30,1h 15m,SGN,DAD
Vietnam Airlines,1375090,15:15,,,16:35,1h 20m,SGN,DAD
