brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
VietJet Air,2688592,23:20,,,07:40,8h 20m,SGN,DLI
VietJet Air,2688592,23:20,,,13:15,13h 55m,SGN,DLI
VietJet Air,2909033,14:40,,,13:15,22h 35m,SGN,DLI
VietJet Air,2910432,05:20,,,13:15,31h 55m,SGN,DLI
VietJet Air,3024947,13:20,,,07:40,18h 20m,SGN,DLI
VietJet Air,3024947,13:20,,,13:15,23h 55m,SGN,DLI
VietJet Air,3024947,06:15,,,13:15,31h 0m,SGN,DLI
VietJet Air,3339731,08:30,,,13:15,28h 45m,SGN,DLI
Vietnam Airlines,4094475,07:00,,,13:55,6h 55m,SGN,DLI
Vietnam Airlines,4191625,06:00,,,13:55,7h 55m,SGN,DLI
