brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
Vietravel Airlines,767250,17:20,,,18:25,1h 5m,SGN,PQC
Vietravel Airlines,835560,13:25,,,14:30,1h 5m,SGN,PQC
VietJet Air,892980,15:15,,,16:15,1h 0m,SGN,PQC
SUN PhuQuoc AIRWAYS,959442,15:25,,,16:25,1h 0m,SGN,PQC
Vietnam Airlines,1059675,05:40,,,06:40,1h 0m,SGN,PQC
VietJet Air,1122515,07:30,,,08:30,1h 0m,SGN,PQC
VietJet Air,1133854,05:50,,,06:50,1h 0m,SGN,PQC
SUN PhuQuoc AIRWAYS,1135820,10:35,,,11:35,1h 0m,SGN,PQC
Vietnam Airlines,1213900,08:10,,,09:10,1h 0m,SGN,PQC
Vietnam Airlines,1217880,15:20,,,16:20,1h 0m,SGN,PQC
