brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
Vietnam Airlines,1319370,07:35,,,08:40,1h 5m,SGN,TBB
Vietnam Airlines,2020277,07:35,,,08:40,1h 5m,SGN,TBB
Vietnam Airlines,3999900,06:40,,,13:45,7h 5m,SGN,TBB
Vietnam Airlines,4051640,07:05,,,13:45,6h 40m,SGN,TBB
Vietnam Airlines,4210840,07:00,,,13:45,6h 45m,SGN,TBB
Vietnam Airlines,4264620,11:00,,,13:45,26h 45m,SGN,TBB
Vietnam Airlines,4264620,10:45,,,13:45,27h 0m,SGN,TBB
Vietnam Airlines,4338200,07:25,,,13:45,6h 20m,SGN,TBB
Vietnam Airlines,4638690,08:00,,,13:45,5h 45m,SGN,TBB
Vietnam Airlines,4823642,06:00,,,13:45,7h 45m,SGN,TBB
